,tourney 1,tourney 2,tourney 3,tourney 4,tourney 5,tourney 6,tourney 7
The Yosh Most Valuable Player (MVP),kaiferno,popop,eri ,gentle,kaiferno,shan,toph
The NaeNailWhip Finals MVP (FMVP),kaiferno,gentle,eri ,danny,kaiferno,ema,toph
The Epic Jab Golden Boot,kaiferno,ema,jinsye,danny,ella,jinsye,popop
The TonyBoring Golden Glove,gentle,gentle,pikeman,toph,kaiferno,shan,aster
The Lebonkjames23 Award,rxob,danny,popop,neptune,ella,jinsye,jinsye
The Puskas award,rxob,hawk,popop,jinsye,kaiferno,jinsye,akil
The MajinEri Fair Play award,hawk,hawk,hawk,stella,popop,pikeman,stella
The Popop Rusty Boot,ella,anon,jinsye,neptune,ella,jinsye,popop
The Wraith Most Improved Player,,danny,jinsye,hawk,e ,mai,stella
Save of the tournament,,anon,hawk,gentle,shan,kaiferno,shan
The TonyBoring Youthful Spirit award,,,,saber,baps,baps,popop
The Charlie Kirk Legacy award,,,,,saber,kaiferno,wraith
the Puskass award,,,,,,,jib
